Cluster,Keyword,Score
0,论文结构合理,11.88363428108525
0,论文,11.67033948096355
0,论文写作规范,8.922058853660937
0,规范,6.717176832490384
0,结构合理,6.280964949109546
0,在此基础上,5.988169051676523
0,写作规范,5.248033431999071
0,结构完整,4.840738180994722
0,逻辑清晰,4.766455586449323
0,提出了,4.583100068146477
0,net,4.568918704652536
0,条理清晰,4.402624804157976
0,层次分明,4.187925974991655
0,工作量饱满,4.075120676498315
0,总体而言,4.0
0,新性,3.9428911975995087
0,达到了硕士学位论文水平,3.9035820309572014
0,主要工作包括,3.710142448442406
0,达到了硕士学位论文要求,3.707587460646667
0,图表清晰,3.5689682118191897
1,层次分明,9.79220342105769
1,论文,8.015471278047517
1,综上,7.756818379124816
1,结构合理,7.215959271465803
1,论文结构合理,6.218933982305558
1,逻辑性强,5.923375826669083
1,图表规范,5.177340735281172
1,实验结果表明,5.084238553304688
1,写作规范,5.068806555735392
1,论文工作表明,4.966604988405395
1,格式规范,4.4808405025435585
1,论文结构清晰,4.443907308377822
1,工作量饱满,4.2179022728001545
1,文笔流畅,3.5868252881760174
1,规范,3.5605456738436745
1,2021,3.556691324350478
1,论文的主要工作如下,3.4812545490405746
1,论文条理清晰,3.4633640254942657
1,逻辑清晰,3.449445495744417
1,信息,3.372117052826115
2,论文结构合理,23.735226022722944
2,论文,16.427989241110616
2,同意答辩,14.538378761799725
2,综上,12.197060726914692
2,层次分明,12.168920066408047
2,结构合理,11.48106189936814
2,逻辑清晰,9.670146639673135
2,图表规范,9.436322050821628
2,条理清晰,9.184437394019964
2,语言流畅,7.4392399247832
2,论文写作规范,7.375036273192176
2,实验结果表明,7.3636352469968465
2,提出,7.188131373088723
2,格式规范,6.829273354303682
2,总体而言,6.398202210944062
2,思路清晰,6.335383419798325
2,结论合理,5.730247868011624
2,工作量饱满,5.725059848120376
2,价值,5.336047881007032
2,论文写作认真,5.257204795323942
3,论文结构合理,25.9206809840818
3,写作规范,20.84657325446518
3,结构合理,15.725785661732806
3,逻辑清晰,15.2016191342264
3,层次分明,13.763733821028485
3,论文,13.50950501343042
3,工作量饱满,12.80188838265309
3,论文写作规范,12.537772993584948
3,同意答辩,11.930456432230441
3,图表规范,11.441851467559834
3,条理清晰,11.418577775013732
3,实验结果表明,9.603468521631767
3,论文结构清晰,9.340564434703326
3,格式规范,9.249285644409436
3,条理清楚,8.208470080636422
3,论文结构完整,8.029300464174115
3,逻辑性较强,7.666863977678188
3,提出,7.605635371047075
3,价值,7.5804090568655305
3,综上,7.446865936187786
4,论文结构合理,25.758357795800567
4,层次分明,19.549700017153675
4,论文,18.247718656336012
4,同意答辩,17.586320905173928
4,结构合理,16.618420698759508
4,逻辑清晰,14.28335551892271
4,工作量饱满,13.765147649924762
4,文笔流畅,10.718105676860638
4,综上,9.684123581834099
4,写作规范,9.333654255858947
4,语言流畅,8.194037532534722
4,具有一定的创新性,8.079286974274574
4,总体而言,7.551420207429795
4,论文工作量饱满,7.541224589029375
4,实验充分,7.41130432352876
4,图表规范,7.394763446462594
4,实验结果表明,7.134608949772816
4,提出,7.127802251567907
4,实验设计合理,6.685428061180387
4,达到硕士学位论文要求,6.598126082862507
